Drug,Disease,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClusteringCoefficient,RandomWalkCentrality,PhaseSuccess,PHASE2,PHASE3,PHASE4
fenofibrate,metabolic syndrome,0.3455797933409874,0.0693071401278644,0.004596195533012,0.3980730897009967,0.003089014039529,1,0,0,1
fenofibrate,insulin resistance,0.3455797933409874,0.0693071401278644,0.004596195533012,0.3980730897009967,0.003089014039529,1,0,0,1
tocopherols,non-alcoholic fatty liver disease,0.0378874856486796,0.0054541848082657,0.0001610135772823,0.6136363636363636,0.0004980611791534,1,0,0,1
topiramate,obesity,0.3880597014925373,0.0764601935746476,0.0067053116839778,0.3909715028181131,0.0036636784701075,1,1,0,0
topiramate,obesity,0.3880597014925373,0.0764601935746476,0.0067053116839778,0.3909715028181131,0.0036636784701075,1,1,0,0
topiramate,weight loss,0.3880597014925373,0.0764601935746476,0.0067053116839778,0.3909715028181131,0.0036636784701075,1,1,0,0
pioglitazone,asthma,0.4994259471871412,0.0972644545706885,0.0127482203215867,0.3279728799194872,0.0048170887434955,1,1,0,0
metformin,infertility,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
metformin,polycystic ovary syndrome,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,0,0,1
exenatide,non-alcoholic fatty liver disease,0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,1,0
betahistine,obesity,0.121699196326062,0.0316714045352198,6.810893146883939e-06,0.98544474393531,0.0007828848010419,1,1,0,0
betahistine,obesity,0.121699196326062,0.0316714045352198,6.810893146883939e-06,0.98544474393531,0.0007828848010419,1,1,0,0
hydroxocobalamin,vitamin b 12 deficiency,0.0,1.3751418646248946e-31,0.0,0.0,0.000175090463406,1,0,0,1
metformin,diabetes mellitus,0.6544202066590127,0.1072953057765968,0.0438311764193928,0.2311781210495483,0.0083453744763033,1,1,0,0
rimonabant,obesity,0.2927669345579793,0.0628543514547334,0.0036575875875405,0.5002624671916011,0.0030156576094661,0,1,0,0
rimonabant,hypertension,0.2927669345579793,0.0628543514547334,0.0036575875875405,0.5002624671916011,0.0030156576094661,0,1,0,0
propofol,synesthesia,0.3203214695752009,0.0605934914022657,0.006289599911896,0.3637348185967355,0.0031135023939977,1,0,0,1
propofol,obesity,0.3203214695752009,0.0605934914022657,0.006289599911896,0.3637348185967355,0.0031135023939977,1,0,0,1
phentermine,hypotension,0.2055109070034443,0.0453784973596803,0.0012214848100114,0.5938108091143054,0.0017712465401816,1,0,0,1
tirzepatide,obesity,0.3076923076923077,0.0593919086327827,0.0048981759057073,0.3982894516183129,0.002790417830973,0,1,0,0
liraglutide,"diabetes mellitus, type 2",0.3972445464982778,0.0792584939975,0.0110585888188906,0.3745329647315071,0.0039492342366384,1,0,0,1
sitagliptin phosphate,"diabetes mellitus, type 2",0.2881745120551091,0.0605548195301256,0.0026549965724498,0.4600478087649402,0.0029195749618411,1,0,0,1
exenatide,"diabetes mellitus, type 2",0.3880597014925373,0.0762884143014395,0.0100897732104768,0.3619475708039962,0.0044417169711415,1,0,0,1
